clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
495,0.14285715,0.05121598,0.034800872,0.2509134
496,0.21180557,0.082414456,0.037094735,0.38651642
497,0.22574957,0.05310576,0.11317038,0.33832875
498,0.33713853,0.06166755,0.20569725,0.4685798
499,0.13760684,0.051134,0.029207604,0.24600609
500,0.21283256,0.05534988,0.09485708,0.33080804
501,0.2134503,0.051763397,0.10311923,0.32378137
502,0.016908213,0.017320938,-0.020010494,0.05382692
503,0.1867955,0.063511826,0.05279727,0.32079375
504,0.30601093,0.078405514,0.13784783,0.47417405
505,0.07671958,0.045329787,-0.02120947,0.17464863
506,0.18157183,0.06193161,0.050907552,0.3122361
507,0.10185186,0.040044002,0.017366394,0.18633732
508,0.045383412,0.031037496,-0.020413142,0.11117997
509,0.3413655,0.056754075,0.22162485,0.4611061
510,0.0,,,
511,0.0057471264,0.0060955756,-0.007326583,0.018820837
512,0.0,,,
513,0.0,,,
514,0.13615024,0.0507011,0.028083399,0.24421707
515,0.27911648,0.07493607,0.121015206,0.43721777
516,0.03527337,0.034965415,-0.039719988,0.11026673
517,0.26556778,0.06803902,0.12133149,0.40980405
518,0.23548922,0.06054066,0.10775959,0.36321884
519,0.022222223,0.022524184,-0.026853757,0.071298204
520,0.06666667,0.036547024,-0.011718902,0.14505224
521,0.13657407,0.050817326,0.029358892,0.24378926
522,0.015151516,0.0155063225,-0.01789943,0.04820246
523,0.15104167,0.060369287,0.02062176,0.2814616
524,0.33333334,0.054485057,0.21837991,0.44828677
525,0.07912459,0.062118266,-0.055073768,0.21332295
526,0.0,,,
527,0.21468927,0.053824846,0.1005857,0.32879284
528,0.09664352,0.04859176,-0.0069273664,0.2002144
529,0.026455028,0.022183869,-0.021470308,0.07438036
530,0.0,,,
531,0.11752137,0.058911275,-0.008045039,0.24308778
532,0.0,,,
533,0.012048193,0.012497286,-0.01475582,0.038852207
534,0.0,,,
535,0.01754386,0.018037474,-0.020902107,0.055989828
536,0.0,,,
537,0.004830918,0.0051100804,-0.006129115,0.01579095
538,0.10569106,0.046144545,0.008334582,0.20304754
539,0.116605625,0.052468922,0.004770766,0.22844048
540,0.3588889,0.06631908,0.21896787,0.49880993
